Field=#~Integer~#~50|Field=Designator~String~Designator~100|Field=LibRef~String~LibRef~100|Field=Manufacturer~String~Manufacturer~100|Field=Name~String~Name~100|Field=Package~String~Package~100|Field=Temp_Coef~String~Temp_Coef~100|Field=Tolerance~String~Tolerance~100|Field=Value~String~Value~100|Field=Voltage~String~Voltage~100|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=DocumentName~String~DocumentName~100|Field=LogicalDesignator~String~LogicalDesignator~100|Field=PhysicalPath~String~PhysicalPath~100|Field=Project~String~Project~100|Field=Title~String~Title~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~АСК_2.PrjPcb|ReportField=ProjectFullPath~D:\git\Diplom\ДИПЛОМ\Altium\АСК_2.PrjPcb|ReportField=Title~Bill of Materials For Schematic Document [Sheet1.SchDoc]|ReportField=ReportTime~11:28:01|ReportField=ReportDate~04.06.2018|ReportField=ReportDateTime~04.06.2018 11:28:01|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~201|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~04.06.2018|ReportField=CurrentTime~11:27:58|ReportField=Date~|ReportField=DecimalNumber~|ReportField=DecimalNumber_MIRROR~|ReportField=DocumentFullPathAndName~D:\git\Diplom\ДИПЛОМ\Altium\Sheet1.SchDoc|ReportField=DocumentName~Sheet1.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=HeadOfSector~|ReportField=ImagePath~|ReportField=MainDevice~|ReportField=ModifiedDate~04.06.2018|ReportField=Name~|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=0.98:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=15:PrintQuality=1200:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=A3:PaperIndex=8|ReportField=ProjectName~АСК_2.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=ЕСКД_Децимальний_номер~ДК41.468224.002|ReportField=ЕСКД_Децимальний_номер_Е3~ДК41.468224.002 Е3|ReportField=ЕСКД_Затвердив~Антонюк О.І.|ReportField=ЕСКД_Лист~|ReportField=ЕСКД_Листів~1|ReportField=ЕСКД_Маштаб~1:1|ReportField=ЕСКД_Назва_пристрою~Контролер управління|ReportField=ЕСКД_Назва_пристрою_1~|ReportField=ЕСКД_Назва_пристрою_2~|ReportField=ЕСКД_Назва_схеми~|ReportField=ЕСКД_Назва_схеми_1~Схема електрична|ReportField=ЕСКД_Назва_схеми_2~принципова|ReportField=ЕСКД_Норма_контроль~Лисенко О.І.|ReportField=ЕСКД_Організація~|ReportField=ЕСКД_Організація_1~КПІ ім. Ігоря Сікорського|ReportField=ЕСКД_Організація_2~ФЕЛ, КЕОА, ДК-41|ReportField=ЕСКД_Перевірив~Адаменко І.О.|ReportField=ЕСКД_Проект~|ReportField=ЕСКД_Розміщення~|ReportField=ЕСКД_Розробив~Білаш Б.О.|ReportField=ЕСКД_Тема~|ReportField=ЕСКД_Тема_1~|ReportField=ЕСКД_Тема_2~|ReportField=ЕСКД_Тема_повна~|ReportField=DataSourceFileName~Sheet1.SchDoc|ReportField=DataSourceFullPath~D:\git\Diplom\ДИПЛОМ\Altium\Sheet1.SchDoc|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1||plata_1||Лак||||||plata_1||Sheet1.SchDoc|||D:\git\Diplom\ДИПЛОМ\Altium\АСК_2.PrjPcb|
2||plata||Плата друкована||||||plata||Sheet1.SchDoc|||D:\git\Diplom\ДИПЛОМ\Altium\АСК_2.PrjPcb|
3||plata||Плата друкована||||||plata||Sheet1.SchDoc|||D:\git\Diplom\ДИПЛОМ\Altium\АСК_2.PrjPcb|
4|1|Table||||||||Table||Sheet1.SchDoc|1||D:\git\Diplom\ДИПЛОМ\Altium\АСК_2.PrjPcb|
5|C1|C_0.1mkF_0603|Yageo||C-0603|X7R|5%|0,1 мкФ|50 В|0,1 мкФ|C_0.1mkF_0603|Sheet1.SchDoc|C1||D:\git\Diplom\ДИПЛОМ\Altium\АСК_2.PrjPcb|
6|C2|C_0.1mkF_0603|Yageo||C-0603|X7R|5%|0,1 мкФ|50 В|0,1 мкФ|C_0.1mkF_0603|Sheet1.SchDoc|C2||D:\git\Diplom\ДИПЛОМ\Altium\АСК_2.PrjPcb|
7|C3|C_0.1mkF_0603|Yageo||C-0603|X7R|5%|0,1 мкФ|50 В|0,1 мкФ|C_0.1mkF_0603|Sheet1.SchDoc|C3||D:\git\Diplom\ДИПЛОМ\Altium\АСК_2.PrjPcb|
8|C4|C_0.1mkF_0603|Yageo||C-0603|X7R|5%|0,1 мкФ|50 В|0,1 мкФ|C_0.1mkF_0603|Sheet1.SchDoc|C4||D:\git\Diplom\ДИПЛОМ\Altium\АСК_2.PrjPcb|
9|C5|C_0.1mkF_0603|Yageo||C-0603|X7R|5%|0,1 мкФ|50 В|0,1 мкФ|C_0.1mkF_0603|Sheet1.SchDoc|C5||D:\git\Diplom\ДИПЛОМ\Altium\АСК_2.PrjPcb|
10|C6|C_0.1mkF_0603|Yageo||C-0603|X7R|5%|0,1 мкФ|50 В|0,1 мкФ|C_0.1mkF_0603|Sheet1.SchDoc|C6||D:\git\Diplom\ДИПЛОМ\Altium\АСК_2.PrjPcb|
11|C7|C_0.1mkF_0603|Yageo||C-0603|X7R|5%|0,1 мкФ|50 В|0,1 мкФ|C_0.1mkF_0603|Sheet1.SchDoc|C7||D:\git\Diplom\ДИПЛОМ\Altium\АСК_2.PrjPcb|
12|C8|C_0.1mkF_0603|Yageo||C-0603|X7R|5%|68 пФ|50 В|68 пФ|C_0.1mkF_0603|Sheet1.SchDoc|C8||D:\git\Diplom\ДИПЛОМ\Altium\АСК_2.PrjPcb|
13|C9|C_0.1mkF_0603|Yageo||C-0603|X7R|5%|68 пФ|50 В|68 пФ|C_0.1mkF_0603|Sheet1.SchDoc|C9||D:\git\Diplom\ДИПЛОМ\Altium\АСК_2.PrjPcb|
14|C10|C_10mkF_1206|Yageo||C-1206|X7R|5%|10 мкФ|50 В|10 мкФ|C_10mkF_1206|Sheet1.SchDoc|C10||D:\git\Diplom\ДИПЛОМ\Altium\АСК_2.PrjPcb|
15|C11|C_0.1mkF_0603|Yageo||C-0603|X7R|5%|0,1 мкФ|50 В|0,1 мкФ|C_0.1mkF_0603|Sheet1.SchDoc|C11||D:\git\Diplom\ДИПЛОМ\Altium\АСК_2.PrjPcb|
16|C12|C_0.1mkF_0603|Yageo||C-0603|X7R|5%|0,1 мкФ|50 В|0,1 мкФ|C_0.1mkF_0603|Sheet1.SchDoc|C12||D:\git\Diplom\ДИПЛОМ\Altium\АСК_2.PrjPcb|
17|C13|C_0.1mkF_0603|Yageo||C-0603|X7R|5%|68 пФ|50 В|68 пФ|C_0.1mkF_0603|Sheet1.SchDoc|C13||D:\git\Diplom\ДИПЛОМ\Altium\АСК_2.PrjPcb|
18|C14|C_0.1mkF_0603|Yageo||C-0603|X7R|5%|0,1 мкФ|50 В|0,1 мкФ|C_0.1mkF_0603|Sheet1.SchDoc|C14||D:\git\Diplom\ДИПЛОМ\Altium\АСК_2.PrjPcb|
19|C15|C_0.1mkF_0603|Yageo||C-0603|X7R|5%|0,1 мкФ|50 В|0,1 мкФ|C_0.1mkF_0603|Sheet1.SchDoc|C15||D:\git\Diplom\ДИПЛОМ\Altium\АСК_2.PrjPcb|
